trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.04, 'e': 0.9992001066609779}",30,0,-200.09043338995363,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
2,False,"{'a': 0.04, 'e': 0.9968017063026194}",20,0,-125.2952859328357,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.04, 'e': 0.9928086358538663}",20,0,-124.892297618575,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.04, 'e': 0.9872272833756269}",30,0,-129.8024128914173,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.04, 'e': 0.9800665778412416}",20,0,-100.07913530222895,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.04, 'e': 0.9713379748520297}",20,0,-56.46609312039992,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.04, 'e': 0.9610554383107709}",30,0,-152.22208096516917,"{0: 19, 1: 2, 2: 4, 3: 4, 4: 1}",0
8,False,"{'a': 0.04, 'e': 0.9492354180824408}",25,0,-127.5162141300563,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.04, 'e': 0.9358968236779348}",20,6,-33.794423919527176,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
10,False,"{'a': 0.04, 'e': 0.9210609940028851}",20,0,-97.58610719417891,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.04, 'e': 0.9047516632199635}",20,0,-85.73180406966807,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.04, 'e': 0.8869949227792842}",20,13,-31.929792975603636,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.04, 'e': 0.8678191796776499}",20,0,-93.294820518018,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.04, 'e': 0.8472551110134161}",25,0,-112.23487887727761,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.04, 'e': 0.8253356149096783}",25,0,-63.969973375937315,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.04, 'e': 0.8020957578842927}",25,0,-71.87727112773253,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
