trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-512.6229465889375,"{0: 74, 1: 15, 2: 26, 3: 6, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-531.740420117941,"{0: 74, 1: 20, 2: 15, 3: 3, 4: 8}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-82,-590.0325701508064,"{0: 58, 1: 11, 2: 20, 3: 5, 4: 8}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-759.4708636757083,"{0: 67, 1: 12, 2: 27, 3: 12, 4: 7}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-55,-327.7724932372853,"{0: 41, 1: 15, 2: 14, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-528.5939250669824,"{0: 78, 1: 18, 2: 15, 3: 8, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-6,-160.59349544073325,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-515.7863182854144,"{0: 76, 1: 14, 2: 27, 3: 2, 4: 6}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-561.7843275841832,"{0: 68, 1: 13, 2: 31, 3: 2, 4: 6}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-17,-353.0347228663974,"{0: 23, 1: 9, 2: 6, 3: 4, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,14,-12.088520893421697,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-522.6009896879875,"{0: 75, 1: 12, 2: 23, 3: 3, 4: 7}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-100,-576.9928198729622,"{0: 72, 1: 19, 2: 24, 3: 2, 4: 8}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-63,-587.2231765565172,"{0: 46, 1: 6, 2: 18, 3: 4, 4: 9}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-100,-690.9912973459648,"{0: 69, 1: 19, 2: 28, 3: 7, 4: 7}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-30,-273.84591035490706,"{0: 27, 1: 8, 2: 9, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-574.2150223295658,"{0: 81, 1: 13, 2: 20, 3: 1, 4: 10}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-454.61904755536,"{0: 75, 1: 20, 2: 22, 3: 4, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-621.6180776087805,"{0: 66, 1: 20, 2: 23, 3: 3, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-600.3416605020129,"{0: 65, 1: 18, 2: 25, 3: 6, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-553.9024095022336,"{0: 78, 1: 12, 2: 16, 3: 6, 4: 8}",0
